ementa,457102
e,59974557
acórdão,4280265
dje,2460874
inteiro,1766545
teor,2349983
do,88141653
primeira,1749874
turma,2564424
no,29241427
agravo,6688838
de,174389405
instrumento,2790071
santa,1522550
catarina,1351510
relator,4921628
min,3756151
marco,694262
aurélio,453250
agte,180435
s,4127952
estado,3035756
proc,223474
a,110809099
es,313868
procurador,675980
geral,2279451
agdo,187941
gilberto,168855
aurino,4350
ferreira,369774
adv,488884
alípio,1054
josé,1398823
mattje,135
outro,1965742
recurso,12552017
extraordinário,1618512
matéria,2236485
fática,187068
legal,1747400
o,79267749
não,30696481
é,16240885
meio,1239861
próprio,1005263
ao,22525710
revolvimento,62811
da,73779210
prova,2878884
também,2411537
servindo,54057
à,15946736
interpretação,562768
normas,682388
estritamente,46488
legais,1566844
artigo,3232832
557,630403
2,5732453
código,6980329
processo,6699373
civil,7253165
multa,1833551
se,35638948
manifestamente,316272
infundado,47536
impõe,640840
aplicação,2196640
prevista,1018177
arcando,14499
parte,5152086
com,17639336
ônus,1326026
decorrente,579377
litigância,222935
má,491974
fé,762298
vistos,1135008
relatados,1171994
discutidos,1164071
estes,1583728
autos,6199321
acordam,483033
os,18217847
ministros,589187
em,45661412
desprover,53752
regimental,2089143
nos,7694556
termos,3068113
voto,3967985
por,20742312
unanimidade,798649
sessão,576396
presidida,9431
pelo,11402405
ministro,3535798
dias,1585426
toffoli,245604
na,18188832
conformidade,308497
ata,213737
julgamento,4002735
das,8447148
respectivas,123213
notas,262347
taquigráficas,81885
brasília,391952
30,596520
outubro,278045
2012,319696
documento,3307317
assinado,845352
digitalmente,769154
conforme,2922600
mp,928990
n,20659015
que,64304004
institui,501557
infraestrutura,453451
chaves,527493
públicas,652332
brasileira,572103
icp,480907
brasil,1800804
pode,3115252
ser,9349708
acessado,695041
endereço,872212
eletrônico,791743
sob,2991696
número,1132319
relatório,2186263
re,846565
lat,30444
ó,43094
ri,57769
senhor,715975
decisão,7127697
folha,125182
164,52361
neguei,18283
provimento,3533586
consignando,22537
inviabilidade,312364
1,6350317
início,510428
registro,644386
foi,6477797
interposto,1117189
alegada,506693
base,1848595
nas,2125764
alíneas,108045
c,2672686
permissivo,74851
constitucional,1449984
todavia,635302
tendo,1609056
ocorrido,342540
declaração,2702262
validade,282760
lei,9725432
ou,12958064
ato,2291770
governo,58808
local,899915
contestado,21235
face,1264119
carta,364992
república,642761
salta,3839
aos,4624520
olhos,28909
cabimento,394102
pela,9524568
alínea,264881
mais,2814423
impugnado,241527
mediante,737589
revela,260233
ensejando,52033
campo,147321
acesso,351798
supremo,409053
mercê,29295
articulação,12496
sobre,4759101
violência,149097
pretende,389428
guindar,951
esta,2225664
corte,3158303
enquadra,77613
inciso,1489249
iii,1465143
102,241817
constituição,2089214
federal,2935785
este,2438161
somente,1791790
serve,77917
sobrecarga,10128
máquina,44710
judiciária,361897
ocupando,8540
espaço,69132
deveria,410786
utilizado,278171
exame,1016134
competência,1380096
ai,644955
agr,598920
sc,547961
3,4615451
conheço,313211
desprovejo,16307
4,3037953
publiquem,14623
167,96043
171,75915
sustenta,593441
inconstitucional,135361
legislação,1261395
complementar,733891
define,42134
requisitos,1317702
para,19580617
aposentadoria,614860
especial,3270747
dos,16655477
servidores,629944
exercem,14602
atividade,877456
risco,473639
40,514004
tratando,459278
